"DATE_AND_TIME","TEMP_DEGC","PRESSURE_HPA","RAIN_MM","HUMIDITY_PERCENT","WIND_SPEED_MS","WIND_DIRECT_DEGREES","SWIN_WM2","SWOUT_WM2","LWIN_WM2","LWOUT_WM2","SM_TDT1_PERC","SM_TDT2_PERC"
"03-02-2016 00.00",0.4,954,0,80.9,6.4,281,-0.8,0.1,298,315.4,78,69.1
"03-02-2016 01.00",0.2,954,0.1,82.6,5.8,279,-0.7,0.1,299.8,314.7,78.1,69.3
"03-02-2016 02.00",0,954,0,88.4,6.1,274,-0.7,0.3,302.4,314.3,78,69.3
"03-02-2016 03.00",-0.5,954,0.1,97.6,4.9,271,-0.4,0.2,309.2,313.2,78.1,69.3
"03-02-2016 04.00",-0.7,953.5,0.1,100,3.6,272,-0.1,0.1,311.8,313.1,78.2,69.3
"03-02-2016 05.00",-0.4,953.5,0.1,100,3.4,282,0,0.2,312.9,313.9,78.1,69.2
"03-02-2016 06.00",-0.1,954,0,100,4.6,304,0,0.2,313.7,315.3,78.3,69.3
"03-02-2016 07.00",0,955,0.1,100,4.8,306,-0.2,0.1,314.9,316.1,78.2,69.3
"03-02-2016 08.00",0.2,956.5,0.1,100,5.3,322,0.1,0.1,315.7,316.7,77.9,69.3
"03-02-2016 09.00",0.4,957.5,0.1,100,6.2,330,11.9,2.6,314.9,317.4,78.3,69.3
"03-02-2016 10.00",0.6,959.5,0,99.6,5.8,328,38.9,7.3,313.9,318.3,78,69.3
"03-02-2016 11.00",0.6,960.5,0,99.1,5.2,324,105.5,17.6,287.3,319.7,78,69.2
"03-02-2016 12.00",1.2,962.5,0,96.1,5,318,136.9,24.4,287.6,323.9,78.2,69.3
"03-02-2016 13.00",1.9,963,0,92.8,5.6,308,223.6,43.9,285.5,329.7,78.2,69.2
"03-02-2016 14.00",2.2,964,0,88.2,5.4,315,175.4,35.4,277.6,329.1,78.2,69.1
"03-02-2016 15.00",3.2,964,0.1,77.6,6.9,299,291.1,72.3,261.7,334.7,78.2,69.1
"03-02-2016 16.00",3.1,965,0,75,5.8,291,163.2,48.6,288.3,332,78.1,69.2
"03-02-2016 17.00",1.9,965,0,83.3,4.7,271,12.3,3.1,273.3,320.9,78.2,69.3
"03-02-2016 18.00",1,966,0,86.5,4.6,288,-2.4,0.6,255.1,315.3,78.1,69.2
"03-02-2016 19.00",1.3,966,0,87.8,1.5,300,-0.5,0.4,308.3,318.6,78.2,69.2
"03-02-2016 20.00",1.5,966,0.4,93.4,2.5,241,-1.2,0.6,320.2,320.2,78.2,69.2
"03-02-2016 21.00",1.5,965.5,0.2,99,3.1,247,-0.5,0.4,322.3,322.3,78.3,69.2
"03-02-2016 22.00",1.6,965,0,100,3,227,-0.5,0.3,323.4,323.5,78.3,69.2
"03-02-2016 23.00",1.8,965,0,96,3.6,245,-1.2,0.6,323.6,322.8,78.3,69.2
"04-02-2016 00.00",1.8,964,0,92.8,3,234,-1.1,0.4,323.3,322.1,78.5,69.3
"04-02-2016 01.00",1.4,962.5,0.2,95.5,4.2,224,-1.2,0.5,321.8,321.6,78.3,69.2
"04-02-2016 02.00",1.3,961,0.4,100,6,212,-0.4,0.2,321.1,322.2,78.2,69.2
"04-02-2016 03.00",1.2,960,0.3,100,4.7,201,-0.3,0.3,320.7,321.9,78.2,69.3
"04-02-2016 04.00",2.3,959.5,0.1,100,3.2,246,0,0.3,326.3,326.4,77.9,69.2
"04-02-2016 05.00",4.4,959,0.3,100,6.9,289,0,0.1,336.8,336.5,78.2,69.3
"04-02-2016 06.00",4.9,960,0.4,100,8.9,299,-0.1,0,338.7,339.2,78.3,69.3
"04-02-2016 07.00",5,960.5,0,100,8.4,299,-0.1,0,339.1,339.6,78.2,69.3
"04-02-2016 08.00",4.9,961.5,0.1,100,8.3,304,0.1,0,338.7,339.1,78.5,69.3
"04-02-2016 09.00",4.6,962.5,0,100,6.2,314,8.4,1.3,337.2,337.8,78.3,69.3
"04-02-2016 10.00",4.6,964,0,100,5.9,313,77.6,12.5,329.6,339,77.8,69.2
"04-02-2016 11.00",4.8,964.5,0,97.1,5.8,314,86.3,13.7,330.3,339.4,78,69.3
"04-02-2016 12.00",5.3,965,0,95,4.6,295,110.6,18.1,334,341.8,78,69.1
"04-02-2016 13.00",5.7,965,0,95.9,6,301,137.5,22.9,334.4,345,78,69.1
"04-02-2016 14.00",5.4,965,0,99.2,4.3,299,68.4,10.8,336.5,343,78.1,69.2
