FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1867-07,80.79,111.55,86.18,73.03,112.63,101.35,178.40,76.11,79.24,168.49,92.26,87.08,250.34,119.59,52.41,112.91,142.15,214.38,98.26,102.51,74.15,141.62,99.01,151.25,114.81,73.03,51.42,132.30,151.88,104.99,62.75,92.75,111.22,81.23,73.88,77.52,124.57
1867-08,49.64,64.84,45.82,45.27,54.93,36.80,97.66,83.11,54.60,85.91,59.03,92.32,307.15,59.80,27.72,76.95,143.75,90.18,50.57,28.89,41.17,64.56,111.38,59.29,73.99,53.31,44.55,53.44,80.35,96.50,62.36,40.78,63.02,72.07,50.57,49.29,54.09
1867-09,71.87,58.19,41.60,64.96,51.31,52.69,135.41,83.73,53.82,130.81,66.45,42.76,298.51,56.59,42.34,77.27,182.99,89.13,36.66,16.87,69.97,37.62,134.24,68.72,88.50,43.54,61.71,69.84,73.60,118.33,58.45,62.84,53.57,96.36,46.41,55.37,83.25
1867-10,99.84,66.28,173.93,55.39,66.94,68.95,125.04,114.31,102.85,166.72,64.38,34.36,314.46,49.23,82.16,72.71,156.70,63.39,24.91,132.23,53.22,71.78,115.14,115.94,66.13,46.29,90.70,76.02,105.37,136.86,53.23,121.35,78.14,115.90,49.66,69.93,182.26
1867-11,35.09,23.52,25.82,24.50,22.51,23.38,47.16,55.78,33.39,103.30,26.50,31.68,54.82,20.55,30.26,16.67,56.01,20.96,12.99,61.27,25.91,32.00,42.17,21.99,34.87,11.51,29.08,8.38,27.72,38.97,27.96,40.67,23.53,26.04,13.81,30.23,57.87
1867-12,71.99,40.11,74.23,79.55,36.71,58.48,114.96,95.47,47.57,172.68,80.85,43.16,291.88,45.97,53.96,46.27,97.65,72.70,34.02,92.71,90.20,63.15,65.12,49.59,70.75,45.68,48.75,37.77,39.15,112.37,72.65,70.30,35.70,84.21,53.73,38.75,82.48
1868-01,78.35,98.25,130.49,48.43,94.29,64.40,291.28,103.60,93.55,157.85,62.38,47.02,300.43,94.32,62.38,74.79,238.07,156.01,38.22,177.27,46.47,107.79,190.26,136.38,100.65,55.24,51.28,105.12,144.25,117.62,55.21,95.77,118.70,81.76,54.96,67.90,215.96
1868-02,64.83,37.27,48.24,31.42,36.31,37.37,123.39,86.93,69.18,102.26,35.53,23.39,277.21,32.92,56.96,65.43,141.52,128.95,30.13,30.10,31.61,32.65,110.92,42.24,29.38,26.69,58.16,19.76,49.05,103.25,32.71,74.62,43.57,81.30,30.42,52.39,70.33
1868-03,106.25,39.99,73.20,51.63,38.98,47.34,185.62,103.36,56.15,170.13,43.93,31.76,635.00,34.27,61.93,100.47,257.53,146.99,42.48,51.92,50.64,47.07,188.22,62.49,48.27,36.12,36.60,61.64,60.38,189.33,35.51,71.80,45.91,165.99,37.78,41.84,98.66
1868-04,44.75,46.73,57.74,44.77,49.29,39.22,139.53,61.35,42.64,88.11,45.64,49.20,216.58,37.96,40.53,64.97,104.25,131.30,69.02,87.13,41.97,57.52,83.66,76.51,85.40,30.22,38.34,82.65,83.00,75.96,46.60,61.63,61.43,51.54,31.93,48.39,106.01
1868-05,35.60,29.44,45.72,17.86,31.26,14.01,99.06,37.00,71.46,37.22,12.19,26.16,170.16,33.89,41.06,63.58,85.34,61.45,34.52,54.47,17.32,37.48,66.28,35.47,34.81,9.96,40.33,37.99,39.11,63.70,14.28,64.52,31.90,56.82,10.10,48.81,52.88
1868-06,11.65,17.23,13.04,17.38,15.63,27.75,72.16,10.72,13.47,16.26,15.42,21.28,85.06,19.95,7.70,20.90,46.83,39.37,15.89,32.78,16.82,13.82,38.42,16.73,14.42,15.35,4.01,12.85,14.94,22.48,13.92,12.45,12.19,18.96,14.81,8.92,24.37
1868-07,12.61,25.81,9.11,12.84,30.21,5.42,26.16,10.43,24.46,17.68,7.49,13.59,56.90,12.77,14.91,17.92,26.05,22.77,12.78,28.41,12.59,39.78,19.46,30.09,23.71,3.55,10.69,19.00,43.29,16.00,5.37,34.04,37.54,14.59,3.82,20.72,18.41
1868-08,79.84,90.46,100.56,78.38,76.41,47.76,212.38,91.19,115.80,139.80,86.80,56.10,312.60,58.85,84.04,101.60,232.02,144.47,63.04,31.30,75.50,97.34,180.81,133.16,86.53,68.31,99.27,121.88,135.46,144.20,80.01,134.16,90.30,106.71,65.25,102.64,182.64
1868-09,47.35,77.83,73.62,50.56,69.93,40.52,116.55,74.28,88.00,129.93,65.13,76.92,127.35,45.72,59.32,63.37,133.95,155.67,76.33,114.53,52.65,69.19,105.45,98.41,168.22,51.24,80.46,86.39,115.55,46.64,71.56,96.90,82.67,33.19,53.29,66.18,202.06
