VEG_SPEC,DESC_LATIN,DESC_ABBR,ALTERNAME,VERSION_DATE,BRC_CONCEPT,BRC_NAME,GROWTH_STAGE
4695,Caloplaca scopularis,,,36587,,,
4698,Caloplaca ulcerosa,,,36587,,,
4704,Candelariella medians,,,36587,,,
4707,Candelariella coralliza,,,36587,,,
4710,Carbonea vitellinaria,,,36587,,,
4713,Catapyrenium daedaleum,,,36587,,,
4719,Catillaria atomarioides,,,36587,,,
4722,Catillaria subviridis,,,36587,,,
4725,Catillaria modesta,,,36587,,,
4628,Buellia pulverea,,,36587,,,
4633,Buellia schaereri,,,36587,,,
4636,Buellia subdisciformis,,,36587,,,
4639,Byssoloma marginatum,,,36587,,,
4642,Calicium adspersum,,,36587,,,
4647,Calicium lenticulare,,,36587,,,
4650,Calicium salicinum,,,36587,,,
4653,Caloplaca approximata,,,36587,,,
4656,Caloplaca atroflava,,,36587,,,
4658,Caloplaca britannica,,,36587,,,
4661,Caloplaca cerinella,,,36587,,,
4664,Caloplaca cinnamomea,,,36587,,,
4566,Bacidia phacodes,,,36587,,,
4569,Bacidia polychroa,,,36587,,,
4571,Bacidia circumspecta,,,36587,,,
4574,Bacidia subincompta,,,36587,,,
4577,Bacidia beckhausii,,,36587,,,
2724,Saxifraga spathularis,,,36587,Vas_1840,Saxifraga spathularis,
2727,Saxifraga rosacea,,,36587,,,
2732,Juncus subnodulosus,,,36587,,,
2735,Ranunculus seedling/sp,,,36587,Vas_4555,Ranunculus,seedling
2738,Sphagnum sp,,,36587,Bry_1243,Sphagnum,
2740,Ilex aquifolium (c),,,36587,Vas_1023,Ilex aquifolium,(c)
2746,Rosa seedling/sp,,,36587,Vas_1705,Rosa,seedling
2748,Lathyrus seedling/sp,,,36587,Vas_4537,Lathyrus,seedling
2751,Malus sylvestris (c),malu sylve (c),,36587,Vas_1230,Malus sylvestris s.l.,(c)
2773,Euphrasia foulaensis,,,36587,,,
2776,Euphrasia nemorosa,,,36587,Vas_798,Euphrasia nemorosa,
2661,Aster tripolium var. discoideus,,,36587,,,
2665,Buxus sempervirens (g),,,36587,,,
2668,Cardamine sp.,,,36587,Vas_4771,Cardamine,
2671,Carex ericetorum,,,36587,,,
2673,Carex viridula ssp scottica,,,36587,Vas_387.2,Carex viridula subsp. brachyrrhyncha var. scotica,
2677,Carpinus betulus (g),,,36587,Vas_428,Carpinus betulus,(g)
2680,Cephalanthera damasonia,,,36587,Vas_457,Cephalanthera damasonia,
2683,Chara hispidus,,,36587,,,
2685,Chenopodium sp.,,,36587,,,
2687,Cirsium acaule,cirs acaul,,36587,Vas_514,Cirsium acaule,
2715,Galium sp,,,36587,Vas_4533,Galium,
2717,Rumex seedling/sp,,,36587,Vas_4557,Rumex,seedling
2604,Betula pubescens (s),,,36587,Vas_240,Betula pubescens,(s)
2607,Betula pendula (g),betu pendu (g),,36587,Vas_239,Betula pendula,(g)
2609,Betula pendula x pubescens (g),,,36587,,,
2613,Fagus sylvatica (g),fagu sylva (g),,36587,Vas_810,Fagus sylvatica,(g)
2616,Ilex aquifolium (g),ilex aquif (g),,36587,Vas_1023,Ilex aquifolium,(g)
2619,Pinus sylvestris (s),,,36587,Vas_1484,Pinus sylvestris,(s)
2622,Prunus avium (g),,,36587,Vas_1611,Prunus avium,(g)
2624,Prunus spinosa (g),prun spino (g),,36587,Vas_1617,Prunus spinosa,(g)
2627,Quercus robur (s),,,36587,Vas_1640,Quercus robur,(s)
2633,Sambucus nigra (g),,,36587,Vas_1815,Sambucus nigra,(g)
2655,Ajuga chamaepitys,,,36587,,,
2660,Asparagus officinalis ssp prostratus,,,36587,Vas_179.2,Asparagus officinalis subsp. prostratus,
2546,Stereocaulon delisei,,,36587,,,
2549,Stereocaulon glareosum,,,36587,,,
2555,Stereocaulon spathuliferum,,,36587,,,
2559,Adonis sp,,,36587,,,
2561,Sticta limbata,,,36587,,,
2563,Umbilicaria grisea,,,36587,,,
2566,Umbilicaria deusta,,,36587,,,
2568,Umbilicaria hyperborea,,,36587,,,
2571,Umbilicaria proboscidea,,,36587,,,
